pmid,title,authors,journal,year,doi,cited_by_count,abstract
39992015,The Association of Intake of Vitamin Mixtures With Periodontitis: A Machine Learning Approach on NHANES,"Zhang Q, Que H, Xu S, Xu L, Lin J, Deng H, Deng K, Wang Y.",J Periodontal Res,2025,10.1111/jre.13387,0,
38802532,Novel gene-specific Bayesian Gaussian mixture model to predict the missense variants pathogenicity of Sanfilippo syndrome,"Mohammed EEA, Fayez AG, Abdelfattah NM, Fateen E.",Sci Rep,2024,10.1038/s41598-024-62352-0,0,
41002357,Machine Learning-Based Framework for Pre-Impact Same-Level Fall and Fall-from-Height Detection in Construction Sites Using a Single Wearable Inertial Measurement Unit,"Yuhai O, Cho Y, Mun JH.",Biosensors (Basel),2025,10.3390/bios15090618,0,
40916332,"Unraveling phosphorus enrichment, transformation, and optimal process strategies in sewage sludge pyrolysis using a correlation-prediction-causation integrated framework","Jiang H, Zhang L, Zhao F, Chen H, Shen J.",Water Res,2025,10.1016/j.watres.2025.124504,0,
40231728,A large-scale retrospective study in metastatic breast cancer patients using circulating tumour DNA and machine learning to predict treatment outcome and progression-free survival,"Beddowes EJ, Ortega Duran M, Karapanagiotis S, Martin A, Gao M, Masina R, Woitek R, Tanner J, Tippin F, Kane J, Lay J, Brouwer A, Sammut SJ, Chin SF, Gale D, Tsui DWY, Dawson SJ, Rosenfeld N, Callari M, Rueda OM, Caldas C.",Mol Oncol,2025,10.1002/1878-0261.70015,0,
37750845,Machine learning identification of patient clusters for cutaneous melanoma,"Thompson LJ, Furmanchuk A, Liszewski W, Kho A, West DP, Liebovitz DM, Nardone B, Gerami P.",Ital J Dermatol Venerol,2023,10.23736/s2784-8671.23.07631-4,0,
35666799,"Primary hyperparathyroidism, a machine learning approach to identify multiglandular disease in patients with a single adenoma found at preoperative Sestamibi-SPECT/CT","Sandqvist P, Sundin A, Nilsson IL, Grybäck P, Sanchez-Crespo A.",Eur J Endocrinol,2022,10.1530/eje-22-0206,0,
32875550,Radiomics predicts response of individual HER2-amplified colorectal cancer liver metastases in patients treated with HER2-targeted therapy,"Giannini V, Rosati S, Defeudis A, Balestra G, Vassallo L, Cappello G, Mazzetti S, De Mattia C, Rizzetto F, Torresin A, Sartore-Bianchi A, Siena S, Vanzulli A, Leone F, Zagonel V, Marsoni S, Regge D.",Int J Cancer,2020,10.1002/ijc.33271,0,
26685993,Reverse Engineering and Evaluation of Prediction Models for Progression to Type 2 Diabetes: An Application of Machine Learning Using Electronic Health Records,"Anderson JP, Parikh JR, Shenfeld DK, Ivanov V, Marks C, Church BW, Laramie JM, Mardekian J, Piper BA, Willke RJ, Rublee DA.",J Diabetes Sci Technol,2015,10.1177/1932296815620200,0,
40835969,AI-driven reclassification of multiple sclerosis progression,"Ganjgahi H, Häring DA, Aarden P, Graham G, Sun Y, Gardiner S, Su W, Berge C, Bischof A, Fisher E, Gaetano L, Thoma SP, Kieseier BC, Nichols TE, Thompson AJ, Montalban X, Lublin FD, Kappos L, Arnold DL, Bermel RA, Wiendl H, Holmes CC.",Nat Med,2025,10.1038/s41591-025-03901-6,0,
35260777,SCORPION is a stacking-based ensemble learning framework for accurate prediction of phage virion proteins,"Ahmad S, Charoenkwan P, Quinn JMW, Moni MA, Hasan MM, Lio' P, Shoombuatong W.",Sci Rep,2022,10.1038/s41598-022-08173-5,0,
